rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Missing security headers,MEDIUM,Site-Wide Security,Medium,2-5 days,6,10,yes,trust,"6 of 6 standard security headers are absent, which weakens protection against XSS, clickjacking and downgrade attacks.","6 of 6 standard security headers are absent, which weakens protection against XSS, clickjacking and downgrade attacks.",notes: Add the missing headers at the CDN or web-server layer; HSTS and X-Content-Type-Options are one-line changes.,"Measured on the live origin: missing HSTS, CSP, X-Content-Type-Options, X-Frame-Options, Referrer-Policy, Permissions-Policy.",Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_1_missing_security_headers.html
2,Single-step funnel dead end,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The page offers only one call to action that exits the site, leaving no defined next step in a conversion path.","The page offers only one call to action that exits the site, leaving no defined next step in a conversion path.",h1: Example Domain; cta: Sign up or Explore products; notes: Add internal primary CTA and ensure Learn more leads to a page with next step,The only call to action on the page is “Learn more”. | Page copy reads “# Example Domain This domain is for use in documentation examples without needing permission. Avoid use in operations. [Learn more](https://iana.org/domains/example)”.,Funnel Path,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_2_single_step_funnel_dead_end.html
3,External link funnel dead end,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The only call to action navigates away from the domain to iana.org, terminating the conversion path without any return or continuation option.","The only call to action navigates away from the domain to iana.org, terminating the conversion path without any return or continuation option.",h1: Example Domain; cta: Learn more (opens in new tab) or internal CTA; notes: Replace or supplement external link with internal destination or open in new tab with visible path back,[Learn more](https://iana.org/domains/example),Funnel Path,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_3_external_link_funnel_dead_end.html
4,No value proposition,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,The page copy only describes the domain's purpose for documentation examples and provides no statement of what is sold or why it is better for a visitor.,The page copy only describes the domain's purpose for documentation examples and provides no statement of what is sold or why it is better for a visitor.,h1: Clear value proposition; cta: Benefit-oriented CTA; notes: Replace placeholder copy with clear value proposition naming product/service and primary benefit,This domain is for use in documentation examples without needing permission. | Avoid use in operations.,Message Clarity,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_4_no_value_proposition.html
5,No competing CTAs,MEDIUM,Homepage,Medium,2-5 days,5,10,no,conversion,"The page has exactly one call to action, so there is no ambiguity from competing options, but this also means the funnel has no alternative entry points.","The page has exactly one call to action, so there is no ambiguity from competing options, but this also means the funnel has no alternative entry points.","h1: Example Domain; cta: Learn more + secondary CTA (e.g., Contact); notes: Introduce secondary, lower-priority CTA to give choice without overwhelming",The only call to action on the page is “Learn more”.,Funnel Path,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_5_no_competing_ctas.html
6,Weak page metadata,MEDIUM,Site-Wide Seo,Medium,2-5 days,5,10,yes,traffic,"Search and social previews are degraded: page title (absent), meta description, Open Graph tags are missing or outside recommended lengths.","Search and social previews are degraded: page title (absent), meta description, Open Graph tags are missing or outside recommended lengths.",notes: Write a 15-60 char title and 70-160 char description per page; add og:title and og:image for link previews.,"Measured on the homepage: title 0 chars (15-60 recommended); description 0 chars (70-160 recommended); og:title missing, og:image missing.",Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_6_weak_page_metadata.html
7,Missing trust signals above the fold,HIGH,Trust & Proof,Medium,2-5 days,5,10,yes,trust,"The homepage shows no sign of returns policy, guarantee, reviews, security badge, so a first-time visitor has nothing to offset purchase risk.","The homepage shows no sign of returns policy, guarantee, reviews, security badge, so a first-time visitor has nothing to offset purchase risk.","notes: Surface review counts, the returns window and a guarantee near the primary call to action.","Measured on the live homepage: no match for returns policy, guarantee, reviews, security badge.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_7_missing_trust_signals_above_the_fold.html
8,No responsive viewport,URGENT,Mobile,Medium,2-5 days,4,10,yes,conversion,"Without a viewport meta tag, mobile browsers render the desktop layout scaled down, making every tap target too small.","Without a viewport meta tag, mobile browsers render the desktop layout scaled down, making every tap target too small.","notes: Add <meta name=""viewport"" content=""width=device-width, initial-scale=1"">","Measured on the mobile render: no <meta name=""viewport""> present.",Technical & Accessibility,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_8_no_responsive_viewport.html
9,Missing trust signals,HIGH,Trust & Proof,Medium,2-5 days,4,10,yes,trust,"The homepage shows no sign of returns policy, guarantee, reviews, security badge, so a first-time visitor has nothing to offset purchase risk.","The homepage shows no sign of returns policy, guarantee, reviews, security badge, so a first-time visitor has nothing to offset purchase risk.","notes: Surface review counts, the returns window and a guarantee near the primary call to action.","Measured on the live homepage: no match for returns policy, guarantee, reviews, security badge.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_9_missing_trust_signals.html
10,Generic CTA label,MEDIUM,Primary Call-To-Action Button,Low,0.5-2 days,3,10,no,conversion,"The only call to action is 'Learn more,' which does not communicate the offer or next step in a way that clarifies what the visitor would get.","The only call to action is 'Learn more,' which does not communicate the offer or next step in a way that clarifies what the visitor would get.","h1: Example Domain; cta: Action-specific, benefit-oriented label; notes: Change CTA to tell visitor exactly what they will receive or do next",,Message Clarity,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_10_generic_cta_label.html
